game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Deadbolt,https://psnprofiles.com/guide/9495-deadbolt-trophy-guide,PS4 Vita,9/10,25,1.88%,"14,033",4/5,5,9
Catherine,https://psnprofiles.com/guide/6099-catherine-trophy-guide,PS3,9/10,60,1.92%,"56,322",5/5,10,74
Geometry Wars 3: Dimensions,https://psnprofiles.com/guide/2134-geometry-wars-3-dimensions-trophy-guide,PS4,9/10,50,2.01%,"19,144",5/5,5,30
Sonic Unleashed,https://psnprofiles.com/guide/6-sonic-unleashed-trophy-guide,PS3,9/10,65,2.09%,"56,824",5/5,24,52
Vanquish,https://psnprofiles.com/guide/45-vanquish-trophy-guide,PS3,9/10,15,2.26%,"78,332",5/5,16,110
Downwell,https://psnprofiles.com/guide/9356-downwell-trophy-guide,PS4 Vita,9/10,30,2.26%,"16,784",5/5,14,23
Divinity: Original Sin,https://psnprofiles.com/guide/3782-divinity-original-sin-trophy-guide,PS4,9/10,100,2.29%,"80,050",4/5,23,74
Dariusburst: Another Chronicle EX+,https://psnprofiles.com/guide/18141-dariusburst-another-chronicle-ex-trophy-guide,PS4,9/10,40,2.50%,985,,0,0
Trials Rising,https://psnprofiles.com/guide/18929-trials-rising-trophy-guide,PS4,9/10,50,2.65%,"5,398",,0,8
Everhood,https://psnprofiles.com/guide/18158-everhood-trophy-guide,PS4,9/10,40,2.94%,"2,442",,0,4
Silent Hill 2 HD,https://psnprofiles.com/guide/3-silent-hill-2-hd-trophy-guide,PS3,9/10,30,3.26%,"73,841",5/5,23,87
Wargroove,https://psnprofiles.com/guide/12097-wargroove-trophy-guide,PS4,9/10,40,3.49%,"12,033",5/5,7,10
Crash Bandicoot 4: It's About Time,https://psnprofiles.com/guide/11012-crash-bandicoot-4-its-about-time-trophy-guide,PS4,9/10,100,3.60%,"252,828",5/5,31,190
Spelunky 2,https://psnprofiles.com/guide/11044-spelunky-2-trophy-guide,PS4,9/10,100,3.82%,"14,549",5/5,5,13
The Evil Within,https://psnprofiles.com/guide/1785-the-evil-within-trophy-guide,PS4,9/10,50,4.03%,"72,354",5/5,27,188
The Binding of Isaac: Rebirth,https://psnprofiles.com/guide/4064-the-binding-of-isaac-rebirth-trophy-guide,PS4 Vita,9/10,150,4.03%,"134,077",5/5,20,111
Ninja Gaiden Σ,https://psnprofiles.com/guide/13480-ninja-gaiden-%CF%83-trophy-guide,PS4,9/10,90,4.25%,"59,346",5/5,9,45
The Evil Within,https://psnprofiles.com/guide/1747-the-evil-within-trophy-guide,PS3,9/10,50,4.39%,"178,426",5/5,12,103
Rick and Morty: Virtual Rick-ality,https://psnprofiles.com/guide/7349-rick-and-morty-virtual-rick-ality-trophy-guide,PS4 VR,9/10,3,4.49%,"71,083",4/5,7,36
Back 4 Blood,https://psnprofiles.com/guide/13154-back-4-blood-trophy-guide,PS5,9/10,100,4.58%,"125,748",4/5,21,53
